[2025-04-28 22:46:15] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2019 (Threshold: 100)
[2025-04-28 22:46:21] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3850 (Threshold: 100)
[2025-04-28 22:46:27] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3928 (Threshold: 100)
[2025-04-28 22:46:33] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4004 (Threshold: 100)
[2025-04-28 22:46:39] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2583 (Threshold: 100)
[2025-04-28 22:46:45] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3165 (Threshold: 100)
[2025-04-28 22:46:51] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3561 (Threshold: 100)
[2025-04-28 22:46:57] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2540 (Threshold: 100)
[2025-04-28 22:47:03] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2748 (Threshold: 100)
[2025-04-28 22:47:09] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3831 (Threshold: 100)
[2025-04-28 22:47:15] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2054 (Threshold: 100)
[2025-04-28 22:47:21] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3020 (Threshold: 100)
[2025-04-28 22:47:27] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2614 (Threshold: 100)
[2025-04-28 22:47:32] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4067 (Threshold: 100)
[2025-04-28 22:47:38] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3046 (Threshold: 100)
[2025-04-28 22:47:45] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1949 (Threshold: 100)
[2025-04-28 22:47:50] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2411 (Threshold: 100)
[2025-04-28 22:47:56] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2816 (Threshold: 100)
[2025-04-28 22:55:43] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2213 (Threshold: 100)
[2025-04-28 22:55:49] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2210 (Threshold: 100)
[2025-04-28 22:55:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2173 (Threshold: 100)
[2025-04-28 22:56:01] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2736 (Threshold: 100)
[2025-04-28 22:56:07] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3221 (Threshold: 100)
[2025-04-28 22:56:13] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4403 (Threshold: 100)
[2025-04-28 22:56:19] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3464 (Threshold: 100)
[2025-04-28 22:56:25] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2519 (Threshold: 100)
[2025-04-28 22:56:31] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2840 (Threshold: 100)
[2025-04-28 22:56:37] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1876 (Threshold: 100)
[2025-04-28 22:56:43] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2533 (Threshold: 100)
[2025-04-28 22:56:49] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2534 (Threshold: 100)
[2025-04-28 22:56:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1973 (Threshold: 100)
[2025-04-28 22:57:01] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2114 (Threshold: 100)
[2025-04-28 22:57:06] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1994 (Threshold: 100)
[2025-04-28 22:57:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2306 (Threshold: 100)
[2025-04-28 22:57:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3178 (Threshold: 100)
[2025-04-28 22:57:24] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3073 (Threshold: 100)
